"","SubjIdx","BlockIndex","BlockTrial","TrialIndex","Condition","Cue","Correct","Rt","Error","AbsError","UncertaintyImage"
"214","0","5","22","214","congruent","dinningroom",1,931,12,12,11
"215","0","5","23","215","incongruent","restaurant",1,713,-5,5,13
"216","0","5","24","216","incongruent","dinningroom",1,511,0,0,11
"217","0","5","25","217","incongruent","restaurant",1,646,-1,1,13
"218","0","5","26","218","congruent","restaurant",0,489,1,1,15
"219","0","5","27","219","incongruent","bedroom",1,727,7,7,15
"220","0","5","28","220","congruent","dinningroom",1,547,13,13,13
"221","0","5","29","221","incongruent","restaurant",1,559,27,27,17
"222","0","5","30","222","incongruent","bedroom",1,1073,9,9,11
"223","0","5","31","223","incongruent","restaurant",1,995,2,2,15
"224","0","5","32","224","incongruent","bedroom",1,631,14,14,9
"225","0","5","33","225","incongruent","dinningroom",1,641,-23,23,11
"226","0","5","34","226","congruent","restaurant",1,982,-3,3,11
"227","0","5","35","227","incongruent","bedroom",1,785,-4,4,15
"228","0","5","36","228","incongruent","dinningroom",1,1746,1,1,9
"229","0","5","37","229","incongruent","bedroom",1,755,-13,13,9
"230","0","5","38","230","incongruent","bedroom",1,574,7,7,13
"231","0","5","39","231","incongruent","bedroom",1,562,7,7,17
"232","0","5","40","232","incongruent","restaurant",1,695,60,60,18
"233","0","5","41","233","congruent","bedroom",0,1053,3,3,11
"234","0","5","42","234","congruent","restaurant",0,1159,140,140,62
"235","0","5","43","235","congruent","restaurant",1,1708,-47,47,15
"236","0","5","44","236","incongruent","dinningroom",0,1042,-5,5,NA
"237","0","5","45","237","congruent","dinningroom",1,747,-5,5,19
"238","0","5","46","238","incongruent","bedroom",1,723,-3,3,13
"239","0","5","47","239","incongruent","dinningroom",0,1131,134,134,11
"240","0","5","48","240","congruent","restaurant",1,1034,-24,24,NA
